Tick 2(1), Delay 56140 ms, IGT 00:00.000, RTA 00:-56.-140-00:00.000, due world load
Tick 3(1), Delay 685 ms, IGT 00:00.000, RTA 00:00.-685-00:00.000, due world load
Tick 4(1), Delay 3 ms, IGT 00:00.000, RTA 00:00.-03-00:00.000, due world load
Tick 5(1), Delay 3 ms, IGT 00:00.000, RTA 00:00.-03-00:00.000, due world load
Tick 6(1), Delay 2 ms, IGT 00:00.000, RTA 00:00.-02-00:00.000, due world load
Tick 7(1), Delay 3 ms, IGT 00:00.000, RTA 00:00.-03-00:00.000, due world load
Tick 8(1), Delay 3 ms, IGT 00:00.000, RTA 00:00.-03-00:00.000, due world load
Tick 9(1), Delay 2 ms, IGT 00:00.000, RTA 00:00.-02-00:00.000, due world load
Tick 10(1), Delay 4 ms, IGT 00:00.000, RTA 00:00.-04-00:00.000, due world load
Tick 11(1), Delay 3 ms, IGT 00:00.000, RTA 00:00.-03-00:00.000, due world load
Tick 12(1), Delay 3 ms, IGT 00:00.000, RTA 00:00.-03-00:00.000, due world load
Tick 13(1), Delay 17 ms, IGT 00:00.000, RTA 00:00.-17-00:00.000, due world load
Tick 14(1), Delay 57 ms, IGT 00:00.000, RTA 00:00.-57-00:00.000, due world load
Tick 15(1), Delay 45 ms, IGT 00:00.000, RTA 00:00.-45-00:00.000, due world load
Tick 16(1), Delay 176 ms, IGT 00:00.000, RTA 00:00.-176-00:00.000, due world load
Tick 17(1), Delay 19 ms, IGT 00:00.000, RTA 00:00.-19-00:00.000, due world load
Tick 18(1), Delay 4 ms, IGT 00:00.000, RTA 00:00.-04-00:00.000, due world load
Tick 19(1), Delay 18 ms, IGT 00:00.000, RTA 00:00.-18-00:00.000, due world load
Tick 22(1), Delay 67 ms, IGT 00:00.000, RTA 00:00.-67-00:00.000, due world load
Tick 23(1), Delay 66 ms, IGT 00:00.000, RTA 00:00.-66-00:00.000, due world load
Tick 24(1), Delay 28 ms, IGT 00:00.000, RTA 00:00.-28-00:00.000, due world load
Tick 25(1), Delay 27 ms, IGT 00:00.000, RTA 00:00.-27-00:00.000, due world load
Tick 26(1), Delay 63 ms, IGT 00:00.000, RTA 00:00.-63-00:00.000, due world load
Tick 30(1), Delay 39 ms, IGT 00:00.000, RTA 00:00.-39-00:00.000, due world load
Tick 32(1), Delay 67 ms, IGT 00:00.000, RTA 00:00.-67-00:00.000, due world load
Tick 33(1), Delay 31 ms, IGT 00:00.000, RTA 00:00.-31-00:00.000, due world load
Tick 34(1), Delay 71 ms, IGT 00:00.000, RTA 00:00.-71-00:00.000, due world load
Tick 35(1), Delay 42 ms, IGT 00:00.000, RTA 00:00.-42-00:00.000, due world load
Tick 36(1), Delay 37 ms, IGT 00:00.000, RTA 00:00.-37-00:00.000, due world load
Tick 39(1), Delay 74 ms, IGT 00:00.000, RTA 00:00.-74-00:00.000, due world load
Tick 40(1), Delay 23 ms, IGT 00:00.000, RTA 00:00.-23-00:00.000, due world load
Tick 41(1), Delay 78 ms, IGT 00:00.000, RTA 00:00.-78-00:00.000, due world load
Tick 42(1), Delay 29 ms, IGT 00:00.000, RTA 00:00.-29-00:00.000, due world load
Tick 43(1), Delay 60 ms, IGT 00:00.000, RTA 00:00.-60-00:00.000, due world load
Tick 44(1), Delay 64 ms, IGT 00:00.000, RTA 00:00.-64-00:00.000, due world load
Tick 45(1), Delay 19 ms, IGT 00:00.000, RTA 00:00.-19-00:00.000, due world load
Tick 47(1), Delay 85 ms, IGT 00:00.000, RTA 00:00.-85-00:00.000, due world load
Tick 48(1), Delay 17 ms, IGT 00:00.000, RTA 00:00.-17-00:00.000, due world load
Tick 49(1), Delay 132 ms, IGT 00:00.000, RTA 00:00.-132-00:00.000, due world load
Tick 50(1), Delay 5 ms, IGT 00:00.000, RTA 00:00.-05-00:00.000, due world load
Tick 51(1), Delay 76211 ms, IGT 00:00.000, RTA -1:-16.-211-00:00.000, due world load
Tick 52(2), Delay 79 ms, IGT 00:00.068, RTA 00:00.-51-00:00.028
Tick 53(3), Delay 7 ms, IGT 00:00.118, RTA 00:00.028-00:00.035
Tick 54(4), Delay 87 ms, IGT 00:00.168, RTA 00:00.035-00:00.122
Tick 55(5), Delay 129 ms, IGT 00:00.218, RTA 00:00.122-00:00.251
Tick 56(6), Delay 6 ms, IGT 00:00.268, RTA 00:00.251-00:00.257
Tick 57(7), Delay 5 ms, IGT 00:00.318, RTA 00:00.257-00:00.262
Tick 58(8), Delay 68 ms, IGT 00:00.368, RTA 00:00.262-00:00.330
Tick 59(9), Delay 9 ms, IGT 00:00.418, RTA 00:00.330-00:00.339
Tick 60(10), Delay 72 ms, IGT 00:00.468, RTA 00:00.339-00:00.411
Tick 61(11), Delay 60 ms, IGT 00:00.518, RTA 00:00.411-00:00.471
Tick 62(12), Delay 5 ms, IGT 00:00.568, RTA 00:00.471-00:00.476
Tick 63(13), Delay 70 ms, IGT 00:00.618, RTA 00:00.476-00:00.546
Tick 64(14), Delay 72 ms, IGT 00:00.668, RTA 00:00.546-00:00.618
Tick 65(15), Delay 5 ms, IGT 00:00.718, RTA 00:00.618-00:00.623
Tick 67(17), Delay 73 ms, IGT 00:00.818, RTA 00:00.676-00:00.749
Tick 69(19), Delay 25 ms, IGT 00:00.918, RTA 00:00.803-00:00.828
Tick 70(20), Delay 42 ms, IGT 00:00.968, RTA 00:00.828-00:00.870
Tick 71(21), Delay 55 ms, IGT 00:01.018, RTA 00:00.870-00:00.925
Tick 72(22), Delay 37 ms, IGT 00:01.068, RTA 00:00.925-00:00.962
Tick 73(23), Delay 62 ms, IGT 00:01.118, RTA 00:00.962-00:01.024
Tick 74(24), Delay 42 ms, IGT 00:01.168, RTA 00:01.024-00:01.066
Tick 75(25), Delay 43 ms, IGT 00:01.218, RTA 00:01.066-00:01.109
Tick 76(26), Delay 65 ms, IGT 00:01.268, RTA 00:01.109-00:01.174
Tick 79(29), Delay 40 ms, IGT 00:01.418, RTA 00:01.269-00:01.309
Tick 80(30), Delay 55 ms, IGT 00:01.468, RTA 00:01.309-00:01.364
Tick 81(31), Delay 64 ms, IGT 00:01.518, RTA 00:01.364-00:01.428
Tick 82(32), Delay 36 ms, IGT 00:01.568, RTA 00:01.428-00:01.464
Tick 84(34), Delay 45 ms, IGT 00:01.668, RTA 00:01.518-00:01.563
Tick 85(35), Delay 5473 ms, IGT 00:01.718, RTA 00:01.563-00:07.036
Tick 86(36), Delay 39 ms, IGT 00:01.768, RTA 00:07.036-00:07.075
Tick 87(37), Delay 142 ms, IGT 00:01.818, RTA 00:07.075-00:07.217
Tick 88(38), Delay 6 ms, IGT 00:01.868, RTA 00:07.217-00:07.223
Tick 89(39), Delay 18 ms, IGT 00:01.918, RTA 00:07.223-00:07.241
Tick 90(40), Delay 40 ms, IGT 00:01.968, RTA 00:07.241-00:07.281
Tick 91(41), Delay 78 ms, IGT 00:02.018, RTA 00:07.281-00:07.359
Tick 92(42), Delay 74 ms, IGT 00:02.068, RTA 00:07.359-00:07.433
Tick 93(43), Delay 5 ms, IGT 00:02.118, RTA 00:07.433-00:07.438
Tick 95(45), Delay 216 ms, IGT 00:02.218, RTA 00:07.492-00:07.708
Tick 96(46), Delay 8 ms, IGT 00:02.268, RTA 00:07.708-00:07.716
Tick 97(47), Delay 8 ms, IGT 00:02.318, RTA 00:07.716-00:07.724
Tick 98(48), Delay 8 ms, IGT 00:02.368, RTA 00:07.724-00:07.732
Tick 99(49), Delay 61 ms, IGT 00:02.418, RTA 00:07.732-00:07.793
Tick 100(50), Delay 9 ms, IGT 00:02.468, RTA 00:07.793-00:07.802
Tick 101(51), Delay 123 ms, IGT 00:02.518, RTA 00:07.802-00:07.925
Tick 102(52), Delay 11 ms, IGT 00:02.568, RTA 00:07.925-00:07.936
Tick 103(53), Delay 67 ms, IGT 00:02.618, RTA 00:07.936-00:08.003
Tick 104(54), Delay 9 ms, IGT 00:02.668, RTA 00:08.003-00:08.012
