/* The timer/log is segmented. If you need previous logs, check the igt_freeze_1.log file. */
Tick 59374(58941), Delay 85 ms, IGT 49:06.864, RTA 56:07.973-56:08.058
Tick 59375(58942), Delay 28 ms, IGT 49:06.914, RTA 56:08.058-56:08.086
Tick 59376(58943), Delay 40 ms, IGT 49:06.964, RTA 56:08.086-56:08.126
Tick 59377(58944), Delay 45 ms, IGT 49:07.014, RTA 56:08.126-56:08.171
Tick 59381(58948), Delay 59 ms, IGT 49:07.214, RTA 56:08.317-56:08.376
Tick 59382(58949), Delay 62 ms, IGT 49:07.264, RTA 56:08.376-56:08.438
Tick 59384(58951), Delay 42 ms, IGT 49:07.364, RTA 56:08.487-56:08.529
Tick 59385(58952), Delay 35 ms, IGT 49:07.414, RTA 56:08.529-56:08.564
Tick 59386(58953), Delay 42 ms, IGT 49:07.464, RTA 56:08.564-56:08.606
Tick 59387(58954), Delay 68 ms, IGT 49:07.514, RTA 56:08.606-56:08.674
Tick 59388(58955), Delay 33 ms, IGT 49:07.564, RTA 56:08.674-56:08.707
Tick 59389(58956), Delay 61 ms, IGT 49:07.614, RTA 56:08.707-56:08.768
Tick 59390(58957), Delay 32 ms, IGT 49:07.664, RTA 56:08.768-56:08.800
Tick 59391(58958), Delay 72 ms, IGT 49:07.714, RTA 56:08.800-56:08.872
Tick 59392(58959), Delay 37 ms, IGT 49:07.764, RTA 56:08.872-56:08.909
Tick 59394(58961), Delay 59 ms, IGT 49:07.864, RTA 56:08.962-56:09.021
Tick 59395(58962), Delay 65 ms, IGT 49:07.914, RTA 56:09.021-56:09.086
Tick 59396(58963), Delay 36 ms, IGT 49:07.964, RTA 56:09.086-56:09.122
Tick 59398(58965), Delay 27 ms, IGT 49:08.064, RTA 56:09.176-56:09.203
Tick 59402(58969), Delay 58 ms, IGT 49:08.264, RTA 56:09.351-56:09.409
Tick 59404(58971), Delay 63 ms, IGT 49:08.364, RTA 56:09.463-56:09.526
Tick 59405(58972), Delay 28 ms, IGT 49:08.414, RTA 56:09.526-56:09.554
Tick 59406(58973), Delay 60 ms, IGT 49:08.464, RTA 56:09.554-56:09.614
Tick 59408(58975), Delay 39 ms, IGT 49:08.564, RTA 56:09.661-56:09.700
Tick 59413(58980), Delay 56 ms, IGT 49:08.814, RTA 56:09.904-56:09.960
Tick 59414(58981), Delay 41 ms, IGT 49:08.864, RTA 56:09.960-56:10.001
Tick 59418(58985), Delay 55 ms, IGT 49:09.064, RTA 56:10.153-56:10.208
Tick 59419(58986), Delay 45 ms, IGT 49:09.114, RTA 56:10.208-56:10.253
Tick 59420(58987), Delay 56 ms, IGT 49:09.164, RTA 56:10.253-56:10.309
Tick 59421(58988), Delay 42 ms, IGT 49:09.214, RTA 56:10.309-56:10.351
Tick 59426(58993), Delay 43 ms, IGT 49:09.464, RTA 56:10.561-56:10.604
Tick 59428(58995), Delay 57 ms, IGT 49:09.564, RTA 56:10.650-56:10.707
Tick 59431(58998), Delay 56 ms, IGT 49:09.714, RTA 56:10.802-56:10.858
Tick 59432(58999), Delay 45 ms, IGT 49:09.764, RTA 56:10.858-56:10.903
Tick 59434(59001), Delay 55 ms, IGT 49:09.864, RTA 56:10.955-56:11.010
Tick 59435(59002), Delay 40 ms, IGT 49:09.914, RTA 56:11.010-56:11.050
Tick 59438(59005), Delay 57 ms, IGT 49:10.064, RTA 56:11.150-56:11.207
Tick 59440(59007), Delay 40 ms, IGT 49:10.164, RTA 56:11.260-56:11.300
Tick 59443(59010), Delay 62 ms, IGT 49:10.314, RTA 56:11.401-56:11.463
Tick 59447(59014), Delay 55 ms, IGT 49:10.514, RTA 56:11.606-56:11.661
Tick 59451(59018), Delay 65 ms, IGT 49:10.714, RTA 56:11.808-56:11.873
Tick 59452(59019), Delay 33 ms, IGT 49:10.764, RTA 56:11.873-56:11.906
Tick 59454(59021), Delay 45 ms, IGT 49:10.864, RTA 56:11.956-56:12.001
Tick 59455(59022), Delay 64 ms, IGT 49:10.914, RTA 56:12.001-56:12.065
Tick 59459(59026), Delay 45 ms, IGT 49:11.114, RTA 56:12.208-56:12.253
Tick 59460(59027), Delay 63 ms, IGT 49:11.164, RTA 56:12.253-56:12.316
Tick 59462(59029), Delay 45 ms, IGT 49:11.264, RTA 56:12.364-56:12.409
Tick 59463(59030), Delay 60 ms, IGT 49:11.314, RTA 56:12.409-56:12.469
Tick 59465(59032), Delay 58 ms, IGT 49:11.414, RTA 56:12.515-56:12.573
Tick 59466(59033), Delay 43 ms, IGT 49:11.464, RTA 56:12.573-56:12.616
Tick 59468(59035), Delay 43 ms, IGT 49:11.564, RTA 56:12.663-56:12.706
Tick 59469(59036), Delay 64 ms, IGT 49:11.614, RTA 56:12.706-56:12.770
Tick 59470(59037), Delay 36 ms, IGT 49:11.664, RTA 56:12.770-56:12.806
Tick 59472(59039), Delay 63 ms, IGT 49:11.764, RTA 56:12.854-56:12.917
Tick 59473(59040), Delay 45 ms, IGT 49:11.814, RTA 56:12.917-56:12.962
Tick 59475(59042), Delay 43 ms, IGT 49:11.914, RTA 56:13.011-56:13.054
Tick 59476(59043), Delay 60 ms, IGT 49:11.964, RTA 56:13.054-56:13.114
Tick 59477(59044), Delay 42 ms, IGT 49:12.014, RTA 56:13.114-56:13.156
Tick 59478(59045), Delay 59 ms, IGT 49:12.064, RTA 56:13.156-56:13.215
Tick 59479(59046), Delay 43 ms, IGT 49:12.114, RTA 56:13.215-56:13.258
Tick 59480(59047), Delay 42 ms, IGT 49:12.164, RTA 56:13.258-56:13.300
